direction,lot,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usd
SELL,0.01,2025-06-17T08:45:00+00:00,3380.558141073287,3385.7167303404167,3371.2726803924534,2025-06-17T09:45:00+00:00,3385.7167303404167,SL,-5.158589267129628
SELL,0.01,2025-06-18T07:15:00+00:00,3378.9596581175247,3383.363076942278,3371.0335042329684,2025-06-18T07:30:00+00:00,3383.363076942278,SL,-4.403418824753317
BUY,0.01,2025-06-19T07:30:00+00:00,3365.4465569690765,3359.1609872783138,3376.760582412449,2025-06-19T10:15:00+00:00,3376.760582412449,TP,11.31402544337243
BUY,0.01,2025-06-20T03:00:00+00:00,3346.703,3340.668341609775,3351.7318819918546,2025-06-20T03:15:00+00:00,3351.7318819918546,TP,5.028881991854632
BUY,0.01,2025-06-20T07:15:00+00:00,3354.976804609751,3349.6687585122395,3364.5312875852724,2025-06-20T07:30:00+00:00,3349.6687585122395,SL,-5.308046097511578
BUY,0.01,2025-06-23T08:00:00+00:00,3360.317981410407,3355.518167306338,3368.9576467977313,2025-06-23T09:15:00+00:00,3368.9576467977313,TP,8.639665387324385
SELL,0.01,2025-06-25T07:15:00+00:00,3327.2491779441975,3330.727398502223,3320.9883809397516,2025-06-25T07:30:00+00:00,3330.727398502223,SL,-3.4782205580254413
BUY,0.01,2025-06-26T07:15:00+00:00,3344.306877735589,3340.668100379701,3350.856676976187,2025-06-26T09:00:00+00:00,3340.668100379701,SL,-3.638777355887669
BUY,0.01,2025-06-27T03:00:00+00:00,3305.017,3299.8165075901143,3309.350743674904,2025-06-27T03:15:00+00:00,3299.8165075901143,SL,-5.200492409885555
BUY,0.01,2025-06-27T03:15:00+00:00,3302.463,3297.150628476535,3306.889976269554,2025-06-27T03:45:00+00:00,3297.150628476535,SL,-5.312371523465117
BUY,0.01,2025-06-27T03:45:00+00:00,3294.318,3288.7417898598696,3298.9648417834424,2025-06-27T05:15:00+00:00,3298.9648417834424,TP,4.646841783442142
SELL,0.01,2025-06-27T07:15:00+00:00,3286.3017956207705,3291.9638394130634,3276.1101167946426,2025-06-27T11:45:00+00:00,3276.1101167946426,TP,10.191678826127827
BUY,0.01,2025-06-30T07:15:00+00:00,3295.9784687434994,3291.703781308502,3303.672906126494,2025-06-30T07:45:00+00:00,3291.703781308502,SL,-4.274687434997304
SELL,0.01,2025-07-01T01:00:00+00:00,3318.767,3322.9258857194764,3315.301261900436,2025-07-01T02:15:00+00:00,3315.301261900436,TP,3.4657380995636236
BUY,0.01,2025-07-01T07:15:00+00:00,3337.679678839138,3333.9128904477584,3344.459897943621,2025-07-01T07:30:00+00:00,3333.9128904477584,SL,-3.7667883913795777
SELL,0.01,2025-07-02T07:15:00+00:00,3327.5951336552735,3331.333797102538,3320.865539450197,2025-07-02T07:30:00+00:00,3331.333797102538,SL,-3.738663447264571
SELL,0.01,2025-07-03T07:15:00+00:00,3356.1073653955805,3359.8537114397764,3349.3639425160277,2025-07-03T09:30:00+00:00,3349.3639425160277,TP,6.743422879552782
SELL,0.01,2025-07-04T07:15:00+00:00,3337.449431298202,3340.4851183161836,3331.9851946658346,2025-07-04T07:30:00+00:00,3340.4851183161836,SL,-3.0356870179816724
BUY,0.01,2025-07-07T01:00:00+00:00,3311.011,3305.833700192408,3315.3254165063267,2025-07-07T01:30:00+00:00,3315.3254165063267,TP,4.314416506326779
SELL,0.01,2025-07-07T07:45:00+00:00,3305.3397308713947,3310.102422157446,3296.766886556502,2025-07-07T08:15:00+00:00,3310.102422157446,SL,-4.762691286051449
SELL,0.01,2025-07-08T08:00:00+00:00,3330.4105914420957,3334.144677021142,3323.6892373998126,2025-07-08T08:45:00+00:00,3323.6892373998126,TP,6.72135404228311
BUY,0.01,2025-07-09T02:45:00+00:00,3288.57,3283.2728930012145,3292.9842558323217,2025-07-09T03:00:00+00:00,3292.9842558323217,TP,4.414255832321487
BUY,0.01,2025-07-09T07:45:00+00:00,3294.17939504908,3289.8154445582777,3302.0345059325246,2025-07-09T08:00:00+00:00,3289.8154445582777,SL,-4.363950490802381
SELL,0.01,2025-07-10T07:45:00+00:00,3320.575946438359,3323.836482054769,3314.706982328821,2025-07-10T08:30:00+00:00,3323.836482054769,SL,-3.260535616409925
SELL,0.01,2025-07-11T00:30:00+00:00,3335.889,3339.5168147972317,3332.8658210023073,2025-07-11T00:45:00+00:00,3332.8658210023073,TP,3.0231789976928667
BUY,0.01,2025-07-11T10:15:00+00:00,3344.2175309093413,3340.312221815931,3351.24708727748,2025-07-11T12:30:00+00:00,3351.24708727748,TP,7.029556368138856
BUY,0.01,2025-07-14T07:15:00+00:00,3372.975047524334,3368.524572280994,3380.985902962346,2025-07-14T08:15:00+00:00,3368.524572280994,SL,-4.450475243339952
SELL,0.01,2025-07-15T03:30:00+00:00,3357.323,3360.8489849535918,3354.38467920534,2025-07-15T04:00:00+00:00,3360.8489849535918,SL,-3.5259849535918875
SELL,0.01,2025-07-15T04:00:00+00:00,3360.89,3364.352136005903,3358.004886661747,2025-07-15T05:15:00+00:00,3364.352136005903,SL,-3.4621360059031763
BUY,0.01,2025-07-15T07:45:00+00:00,3364.4764010743024,3361.5123903312765,3369.8116204117487,2025-07-15T08:15:00+00:00,3361.5123903312765,SL,-2.9640107430259377
SELL,0.01,2025-07-16T07:30:00+00:00,3336.6945528407728,3339.4990244330434,3331.646503974686,2025-07-16T08:00:00+00:00,3339.4990244330434,SL,-2.804471592270602
SELL,0.01,2025-07-17T07:30:00+00:00,3327.819880872191,3331.771072150283,3320.7077365716245,2025-07-17T08:30:00+00:00,3331.771072150283,SL,-3.9511912780922103
BUY,0.01,2025-07-18T07:15:00+00:00,3345.159919583497,3342.030723748528,3350.792472086441,2025-07-18T09:00:00+00:00,3350.792472086441,TP,5.632552502944236
SELL,0.01,2025-07-21T07:15:00+00:00,3365.047265133137,3368.344613801768,3359.1120375296014,2025-07-21T11:00:00+00:00,3368.344613801768,SL,-3.2973486686310025
SELL,0.01,2025-07-22T07:15:00+00:00,3384.0874107666673,3386.8733030999942,3379.0728045666788,2025-07-22T07:45:00+00:00,3386.8733030999942,SL,-2.785892333326956
BUY,0.01,2025-07-23T07:15:00+00:00,3429.187162989941,3425.4955330905327,3435.832096808876,2025-07-23T07:30:00+00:00,3425.4955330905327,SL,-3.6916298994083268
SELL,0.01,2025-07-24T07:45:00+00:00,3369.4487836671947,3374.2209469952454,3360.8588896767037,2025-07-24T08:30:00+00:00,3374.2209469952454,SL,-4.772163328050738
BUY,0.01,2025-07-25T07:15:00+00:00,3360.0903841923,3356.946542269298,3365.7492996537035,2025-07-25T07:30:00+00:00,3356.946542269298,SL,-3.143841923002128
SELL,0.01,2025-07-28T07:30:00+00:00,3335.3908273345014,3339.0325539894893,3328.8357193555235,2025-07-28T09:15:00+00:00,3339.0325539894893,SL,-3.6417266549879064
BUY,0.01,2025-07-29T08:00:00+00:00,3322.8686668998944,3318.48199790095,3330.7646710979943,2025-07-29T11:00:00+00:00,3318.48199790095,SL,-4.386668998944515
BUY,0.01,2025-07-30T08:15:00+00:00,3332.4961172395488,3329.0249448440577,3338.7442275514322,2025-07-30T10:00:00+00:00,3329.0249448440577,SL,-3.471172395491067
BUY,0.01,2025-07-31T07:45:00+00:00,3305.26242589316,3301.0081669615574,3312.920091970045,2025-07-31T08:15:00+00:00,3312.920091970045,TP,7.657666076885107
SELL,0.01,2025-08-01T07:30:00+00:00,3289.093288806104,3292.6704007450676,3282.654487315969,2025-08-01T08:45:00+00:00,3292.6704007450676,SL,-3.5771119389637533
SELL,0.01,2025-08-04T07:30:00+00:00,3353.134323373442,3357.111089639026,3345.9761440953903,2025-08-04T08:00:00+00:00,3357.111089639026,SL,-3.9767662655840468
BUY,0.01,2025-08-05T07:15:00+00:00,3374.504746056649,3371.3772854901604,3380.134175076328,2025-08-05T07:45:00+00:00,3371.3772854901604,SL,-3.1274605664884803
SELL,0.01,2025-08-06T07:15:00+00:00,3370.9662354080647,3373.9238813274214,3365.6424727532226,2025-08-06T07:30:00+00:00,3373.9238813274214,SL,-2.9576459193567644
SELL,0.01,2025-08-07T01:30:00+00:00,3381.681,3385.7145252498194,3378.3197289584837,2025-08-07T02:30:00+00:00,3378.3197289584837,TP,3.3612710415163747
BUY,0.01,2025-08-07T07:15:00+00:00,3388.9029704347936,3385.19326608686,3395.5804382610736,2025-08-07T07:30:00+00:00,3395.5804382610736,TP,6.677467826280008
BUY,0.01,2025-08-08T07:45:00+00:00,3400.930362425829,3395.836738167537,3410.0988860907546,2025-08-08T08:45:00+00:00,3395.836738167537,SL,-5.093624258292039
